#
 0,             smart,30,  0.43,  0.06,  --*   -----        |                   
 0,             smart,40,  0.43,  0.06,    *   -----        |                   
 0,              dumb,50,  0.43,  0.07,    *   -----        |                   
 0,             smart,20,  0.43,  0.07,    *   -----        |                   
#
 1,              dumb,40,  0.47,  0.07,       *             |                   
#
 2,              dumb,20,  0.50,  0.01,    ----*----        |                   
 2,              dumb,30,  0.50,  0.05,    -   *----        |                   
 2,             smart,50,  0.50,  0.13,        *            |                   
#
 3,           asIs,10000,  0.71,  0.23,             ---     |*                  
