#
 0,             smart,40,  0.41,  0.05, -- *  -----         |                   
 0,             smart,30,  0.42,  0.08, ---  *    -         |                   
 0,             smart,20,  0.44,  0.09, ---   *    -        |                   
 0,              dumb,50,  0.45,  0.09,  --    *            |                   
 0,             smart,50,  0.45,  0.09,   -    *            |                   
#
 1,              dumb,20,  0.50,  0.00,         ---*        |                   
 1,              dumb,30,  0.50,  0.00,       -----*        |                   
 1,              dumb,40,  0.50,  0.00, -----------*        |                   
#
 2,           asIs,10000,  0.61,  0.15,            -        *   ----            
