#
 0,             smart,20,  0.13,  0.07, ---  *--            |                   
 0,             smart,30,  0.13,  0.03,  ----*-             |                   
 0,             smart,50,  0.13,  0.03,    --*--            |                   
#
 1,              dumb,40,  0.15,  0.05,     - *-            |                   
 1,             smart,40,  0.15,  0.04,       *             |                   
 1,              dumb,50,  0.15,  0.04,       *-            |                   
 1,              dumb,30,  0.15,  0.02,      -*             |                   
 1,              dumb,20,  0.17,  0.05,        *--          |                   
#
 2,            asIs,4653,  0.48,  0.13,                ---  *  ----------       
