#
 0,             smart,50,  0.09,  0.02, - *-----------------|-----              
 0,              dumb,40,  0.09,  0.04, - *--               |                   
 0,              dumb,30,  0.10,  0.05,   *-                |                   
 0,             smart,30,  0.10,  0.05, - *-------          |                   
 0,              dumb,50,  0.10,  0.04, - *-                |                   
 0,             smart,20,  0.11,  0.24,    *        --------|-----------        
 0,              dumb,20,  0.12,  0.02,  --*----            |                   
 0,             smart,40,  0.13,  0.19, -  *     ---        |                   
#
 1,            asIs,3840,  0.85,  0.04,                     |            * ---- 
