#
 0,              dumb,50,  0.16,  0.11,  -   *---           |                   
#
 1,             smart,20,  0.21,  0.27,  ---   *       --   |                   
 1,             smart,40,  0.21,  0.31,  ---   *        --- |                   
 1,              dumb,40,  0.22,  0.12,      -- *   -----   |                   
#
 2,              dumb,20,  0.26,  0.23,   ----   *      ----|                   
 2,              dumb,30,  0.26,  0.19,  -       *----      |                   
#
 3,             smart,30,  0.39,  0.23,  ------       *  -  |                   
 3,             smart,50,  0.40,  0.24,  ------        * ---|-                  
#
 4,            asIs,2880,  0.94,  0.05,                     |             -- *- 
