#
 0,             smart,50,  0.17,  0.02, *-                  |                   
#
 1,             smart,40,  0.19,  0.06, * ------------------|----------------   
 1,             smart,20,  0.19,  0.06,  *------------------|-                  
 1,             smart,30,  0.19,  0.22,  *        ----------|-------------      
#
 2,              dumb,50,  0.22,  0.03, - *                 |                   
 2,              dumb,20,  0.22,  0.01, --*----------       |                   
 2,              dumb,30,  0.22,  0.00, --*-------          |                   
 2,              dumb,40,  0.23,  0.03, -- *                |                   
#
 3,            asIs,1023,  0.83,  0.47,    --------------   |           *       
