#
 0,             smart,20,  0.21,  0.05,   *---              |                   
 0,             smart,50,  0.21,  0.08,   * -----           |                   
#
 1,             smart,40,  0.23,  0.09, -  *  --            |                   
 1,              dumb,40,  0.23,  0.03, -- *----            |                   
 1,              dumb,50,  0.24,  0.04, -- *---             |                   
 1,             smart,30,  0.24,  0.09, -- *  ----          |                   
 1,              dumb,30,  0.25,  0.05,  -- *--             |                   
 1,              dumb,20,  0.25,  0.05,     *------         |                   
#
 2,             asIs,972,  0.48,  0.10,            --  *  --|---                
