#
 0,              dumb,30,  0.06,  0.02, *                   |                   
 0,              dumb,40,  0.06,  0.02, *-                  |                   
 0,             smart,30,  0.07,  0.12, *     -----         |                   
 0,             smart,20,  0.07,  0.10, *    -----          |                   
 0,             smart,40,  0.07,  0.17,  *      ---         |                   
 0,             smart,50,  0.07,  0.13,  *    ---           |                   
 0,              dumb,50,  0.07,  0.02,  *                  |                   
#
 1,              dumb,20,  0.10,  0.06, - *----             |                   
#
 2,            asIs,2736,  0.29,  0.11,  -------  *  -------|-------            
