#
 0,              dumb,30,  0.01,  0.03,  *   ---            |                   
 0,              dumb,50,  0.02,  0.02,   * ---             |                   
 0,              dumb,40,  0.02,  0.02,    *---             |                   
 0,             smart,30,  0.02,  0.02, -- *  -------       |                   
 0,             smart,50,  0.03,  0.07,    *         -------|----               
 0,              dumb,20,  0.03,  0.02, --- * ----          |                   
 0,             smart,40,  0.03,  0.03,     * -             |                   
 0,             smart,20,  0.03,  0.04,     *  -            |                   
#
 1,            asIs,3840,  0.15,  0.04,   ------------------|     *-            
