#
 0,             smart,40,  0.24,  0.01,             - *-----|---                
 0,             smart,50,  0.24,  0.02,             - *-----|---                
 0,             smart,30,  0.24,  0.14,             - *     |  --               
#
 1,             smart,20,  0.27,  0.09,              -  *   |----               
 1,              dumb,40,  0.27,  0.02,               - *---|                   
 1,              dumb,50,  0.28,  0.07,               - *   |---                
#
 2,              dumb,20,  0.29,  0.11,                - *  |   ------          
#
 3,              dumb,30,  0.31,  0.07,               --   *| -----             
#
 4,           asIs,86058,  0.47,  0.06,                  ---|------   * ---     
