#
 0,             smart,20,  0.40,  0.02, ---*---             |                   
 0,              dumb,40,  0.40,  0.05, ---*  ---           |                   
 0,              dumb,50,  0.40,  0.02,    *---             |                   
 0,             smart,50,  0.40,  0.13, -  *                |                   
#
 1,              dumb,30,  0.42,  0.10,     *    --         |                   
 1,             smart,30,  0.42,  0.07,     *  --           |                   
 1,             smart,40,  0.42,  0.11, -   *  -------      |                   
#
 2,              dumb,20,  0.50,  0.13,    -     *  ---     |                   
#
 3,            asIs,1000,  0.66,  0.15,          ------    *|   ----            
