#
 0,             smart,50,  0.46,  0.10,   *     -           |                   
 0,             smart,40,  0.47,  0.11,    *     -          |                   
 0,             smart,20,  0.50,  0.10,  -   *              |                   
 0,              dumb,30,  0.50,  0.10,  -   *              |                   
 0,             smart,30,  0.50,  0.11,      *   -          |                   
 0,              dumb,40,  0.50,  0.04,  --  *---           |                   
 0,              dumb,50,  0.50,  0.11,      *              |                   
#
 1,              dumb,20,  0.56,  0.01,      --- *          |                   
#
 2,           asIs,10000,  0.78,  0.11,          -------    |   *-------        
