#
 0,              dumb,50,  0.29,  0.10,  *   --------       |                   
 0,              dumb,30,  0.29,  0.25,   *                 |                   
#
 1,             smart,40,  0.35,  0.23, -    *              |                   
 1,              dumb,40,  0.37,  0.17, ----  *             |                   
#
 2,              dumb,20,  0.50,  0.21, --           *--    |                   
 2,             smart,20,  0.50,  0.19, ---          *      |                   
 2,             smart,30,  0.50,  0.19,   -          *      |                   
 2,             smart,50,  0.50,  0.19, ---          *      |                   
#
 3,            asIs,1000,  0.75,  0.19,              -------|-----*         --- 
