#
 0,             smart,20,  0.57,  0.07, *     --------------|---                
#
 1,             smart,40,  0.64,  0.19,       *          ---|-                  
 1,             smart,50,  0.64,  0.24,       *             | --                
 1,             smart,30,  0.64,  0.24,       *             | ---               
 1,              dumb,50,  0.64,  0.19, ------*             |   --              
#
 2,              dumb,40,  0.81,  0.19,       -             | *  -----          
 2,              dumb,30,  0.82,  0.11,       -----------   |  *   ---          
#
 3,              dumb,20,  0.85,  0.08,       --------------|-   *   --         
#
 4,              asIs,93,  0.96,  0.08,                   --|---------      * - 
