#
 0,             smart,30,  0.14,  0.03,   -*--              |                   
 0,             smart,50,  0.14,  0.06,   -* -----          |                   
#
 1,              dumb,50,  0.15,  0.03,   - *-              |                   
 1,             smart,20,  0.15,  0.04,   - *----           |                   
 1,              dumb,40,  0.15,  0.05,  -- *-              |                   
 1,              dumb,30,  0.16,  0.08,   - *               |                   
 1,             smart,40,  0.16,  0.04,   - *               |                   
#
 2,              dumb,20,  0.20,  0.05,    -- *--           |                   
#
 3,             asIs,500,  0.50,  0.31,       ------       *|    -------        
