#
 0,             smart,30,  0.09,  0.07,    * ----           |                   
 0,             smart,50,  0.14,  0.03,    -*----           |                   
 0,             smart,40,  0.14,  0.07,  --  *--            |                   
 0,             smart,20,  0.14,  0.06,   -  *---           |                   
#
 1,              dumb,50,  0.18,  0.06,    -- *-            |                   
 1,              dumb,40,  0.19,  0.11,    -   * -          |                   
 1,              dumb,30,  0.20,  0.09,   ---  * -          |                   
#
 2,              dumb,20,  0.25,  0.09,       -  *--        |                   
#
 3,           asIs,10000,  0.45,  0.15,          -----   *  |----               
