#
 0,             smart,30,  0.10,  0.04,  - *----            |                   
 0,             smart,20,  0.10,  0.04,  - *                |                   
 0,             smart,50,  0.11,  0.03,   - *               |                   
#
 1,             smart,40,  0.12,  0.05,   --* -----         |                   
 1,              dumb,50,  0.12,  0.02,    - *--            |                   
#
 2,              dumb,30,  0.15,  0.06,     - * ---         |                   
 2,              dumb,40,  0.15,  0.04,    -- *-            |                   
 2,              dumb,20,  0.17,  0.03,    --- *---         |                   
#
 3,           asIs,10000,  0.39,  0.16,           ----    * |  ----             
