#
 0,             smart,30,  0.03,  0.02, -*---               |                   
 0,             smart,40,  0.03,  0.03,  * ---              |                   
 0,             smart,20,  0.04,  0.08,   *  -------        |                   
 0,             smart,50,  0.04,  0.06, - *  --             |                   
#
 1,              dumb,30,  0.05,  0.04,  --* -              |                   
 1,              dumb,50,  0.06,  0.03,    *                |                   
 1,              dumb,20,  0.07,  0.03,   - *---            |                   
 1,              dumb,40,  0.07,  0.04,  -  *-              |                   
#
 2,            asIs,1343,  0.29,  0.15,          ---     *  |-------            
