#
 0,             smart,20,  0.00,  0.00, *--------           |                   
 0,             smart,30,  0.00,  0.00, *--                 |                   
 0,             smart,40,  0.00,  0.00, *---------          |                   
 0,             smart,50,  0.00,  0.00, *                   |                   
#
 1,              dumb,40,  0.10,  0.13, ---*    --          |                   
 1,              dumb,30,  0.16,  0.13, ---   * ---         |                   
 1,              dumb,20,  0.17,  0.12, ------*    --       |                   
 1,              dumb,50,  0.17,  0.05, ------* --          |                   
#
 2,             asIs,206,  0.60,  0.24,              ------ |   *    ------     
