#
 0,             smart,20,  0.07,  0.01,     -*--            |                   
 0,             smart,40,  0.08,  0.02,     -*-             |                   
 0,             smart,30,  0.08,  0.01,       *---          |                   
 0,              dumb,50,  0.08,  0.02,     - *-            |                   
 0,             smart,50,  0.09,  0.03, ----- * -----       |                   
 0,              dumb,30,  0.09,  0.03,       * --          |                   
 0,              dumb,40,  0.09,  0.02,      -*-            |                   
#
 1,              dumb,20,  0.10,  0.02,      - *-----       |                   
#
 2,            asIs,1512,  0.18,  0.09,          --  *    --|--------           
