#
 0,              dumb,40,  0.25,  0.08,    - *  ----        |                   
 0,              dumb,50,  0.27,  0.12,       *             |                   
#
 1,             smart,20,  0.30,  0.05,  ----- *----        |                   
 1,             smart,50,  0.31,  0.13,  ----- *    --      |                   
 1,              dumb,30,  0.31,  0.10,    --   *--         |                   
 1,              dumb,20,  0.33,  0.12,   ---    * -        |                   
#
 2,             smart,30,  0.40,  0.14, -------     * --    |                   
 2,             smart,40,  0.44,  0.14,       --      *--   |                   
#
 3,             asIs,756,  0.55,  0.26,            ----    *|      ------------ 
