#
 0,              dumb,50,  0.54,  0.03, --  *               |                   
 0,              dumb,30,  0.55,  0.05,     *------         |                   
 0,              dumb,40,  0.55,  0.05,     *-              |                   
 0,              dumb,20,  0.55,  0.04, --  *--             |                   
#
 1,             smart,20,  0.57,  0.11, --   *     -        |                   
 1,             smart,50,  0.57,  0.08, ---- *     -        |                   
 1,             smart,30,  0.57,  0.11, --    *    -        |                   
 1,             smart,40,  0.63,  0.09, ----       *        |                   
#
 2,             asIs,196,  0.75,  0.12,          --------   *      -----------  
