#
 0,              dumb,40,  0.50,  0.06, - *   -             |                   
 0,             smart,30,  0.52,  0.11, -  *      ---       |                   
 0,              dumb,50,  0.52,  0.04,    *---             |                   
 0,              dumb,20,  0.53,  0.08, --  *  ----         |                   
 0,              dumb,30,  0.53,  0.06,  -  * ----          |                   
#
 1,             smart,50,  0.58,  0.11, -       * ---       |                   
 1,             smart,20,  0.59,  0.11, -        *---       |                   
 1,             smart,40,  0.59,  0.11, -        *          |                   
#
 2,             asIs,196,  0.76,  0.13,           --------  |*      ----------- 
