#
 0,             smart,20,  0.30,  0.00, *                   |                   
 0,             smart,30,  0.30,  0.00, *                   |                   
 0,             smart,40,  0.30,  0.00, *----------         |                   
 0,             smart,50,  0.30,  0.00, *                   |                   
#
 1,              dumb,50,  0.44,  0.14,         *--------   |                   
 1,              dumb,40,  0.45,  0.07, --------*   -----   |                   
 1,              dumb,30,  0.47,  0.06, -------- * ------   |                   
#
 2,              dumb,20,  0.50,  0.15, --------   *     -- |                   
#
 3,             asIs,259,  0.95,  0.12,                  ---|----------     * - 
