#
 0,             smart,30,  0.02,  0.28, *          ---      |                   
 0,              dumb,30,  0.02,  0.13, *    -------        |                   
 0,             smart,50,  0.03,  0.27,  *        ---       |                   
 0,              dumb,40,  0.05,  0.07,  * --------         |                   
 0,              dumb,50,  0.05,  0.16, -*     ----         |                   
 0,              dumb,20,  0.17,  0.27,       *    -        |                   
 0,             smart,20,  0.26,  0.26,           *--       |                   
 0,             smart,40,  0.26,  0.26,           *--       |                   
#
 1,            asIs,1080,  0.43,  0.09,             ---  * -|-----              
